from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:32170,IDFM:monomodalStopPlace:47790,2,210
IDFM:monomodalStopPlace:44602,IDFM:470662,2,196
IDFM:monomodalStopPlace:47158,IDFM:470684,2,203
IDFM:monomodalStopPlace:473534,IDFM:481070,2,154
IDFM:471462,IDFM:480038,2,116
IDFM:471537,IDFM:472172,2,60
IDFM:13114,IDFM:monomodalStopPlace:47669,2,269
IDFM:483757,IDFM:monomodalStopPlace:43241,2,271
IDFM:monomodalStopPlace:470533,IDFM:423884,2,71
IDFM:monomodalStopPlace:427870,IDFM:31265,2,228
IDFM:472819,IDFM:monomodalStopPlace:427872,2,248
IDFM:480906,IDFM:481072,2,19
IDFM:monomodalStopPlace:43147,IDFM:21074,2,200
IDFM:11797,IDFM:monomodalStopPlace:43076,2,247
IDFM:3087,IDFM:monomodalStopPlace:43081,2,193
IDFM:471511,IDFM:monomodalStopPlace:47954,2,303
IDFM:monomodalStopPlace:473216,IDFM:36281,2,104
IDFM:470953,IDFM:8326,2,256
IDFM:monomodalStopPlace:43081,IDFM:3087,2,193
IDFM:472618,IDFM:471289,2,9
IDFM:483848,IDFM:monomodalStopPlace:44201,2,263
IDFM:472292,IDFM:monomodalStopPlace:43070,2,194
IDFM:10964,IDFM:monomodalStopPlace:47327,2,277
IDFM:39804,IDFM:470953,2,60
IDFM:monomodalStopPlace:473534,IDFM:480940,2,146
IDFM:monomodalStopPlace:43223,IDFM:411307,2,239
IDFM:419404,IDFM:472572,2,94
IDFM:monomodalStopPlace:473046,IDFM:471669,2,25
IDFM:8645,IDFM:monomodalStopPlace:47599,2,244
IDFM:471352,IDFM:monomodalStopPlace:45735,2,228
IDFM:10241,IDFM:monomodalStopPlace:43241,2,223
IDFM:472975,IDFM:8488,2,177
IDFM:472644,IDFM:479491,2,140
IDFM:36281,IDFM:486682,2,360
IDFM:486173,IDFM:472139,2,60
IDFM:472719,IDFM:472857,2,150
IDFM:monomodalStopPlace:45873,IDFM:monomodalStopPlace:58718,2,300
IDFM:monomodalStopPlace:47184,IDFM:41685,2,330
IDFM:monomodalStopPlace:43192,IDFM:471157,2,217
IDFM:monomodalStopPlace:46647,IDFM:473025,2,192
IDFM:472789,IDFM:473002,2,60
IDFM:25597,IDFM:30065,2,60
IDFM:monomodalStopPlace:462394,IDFM:monomodalStopPlace:58572,2,240
IDFM:monomodalStopPlace:473159,IDFM:37933,2,245
IDFM:monomodalStopPlace:45814,IDFM:30296,2,201
IDFM:478651,IDFM:478646,2,10
IDFM:monomodalStopPlace:46689,IDFM:25583,2,218
IDFM:471752,IDFM:monomodalStopPlace:47115,2,200
IDFM:472231,IDFM:472385,2,105
IDFM:monomodalStopPlace:43192,IDFM:30023,2,205
IDFM:4959,IDFM:monomodalStopPlace:47962,2,222
IDFM:477446,IDFM:471170,2,60
IDFM:monomodalStopPlace:412743,IDFM:471249,2,316
IDFM:monomodalStopPlace:43102,IDFM:9247,2,207
IDFM:22617,IDFM:19139,2,60
IDFM:478652,IDFM:480819,2,60
IDFM:470953,IDFM:monomodalStopPlace:58572,2,358
IDFM:471890,IDFM:471097,2,25
IDFM:monomodalStopPlace:58718,IDFM:monomodalStopPlace:58566,2,360
IDFM:monomodalStopPlace:43140,IDFM:28138,2,224
IDFM:480827,IDFM:478657,2,60
IDFM:426653,IDFM:4340,2,104
IDFM:471933,IDFM:monomodalStopPlace:43179,2,728
IDFM:9330,IDFM:9331,2,60
IDFM:18874,IDFM:470742,2,60
IDFM:37568,IDFM:2151,2,71
IDFM:18429,IDFM:18430,2,60
IDFM:472595,IDFM:41400,2,109
IDFM:478654,IDFM:480827,2,60
IDFM:420012,IDFM:472626,2,60
IDFM:monomodalStopPlace:47944,IDFM:32801,2,210
IDFM:471507,IDFM:monomodalStopPlace:46222,2,227
IDFM:20586,IDFM:20567,2,60
IDFM:monomodalStopPlace:42851,IDFM:472620,2,352
IDFM:470766,IDFM:473005,2,292
IDFM:19272,IDFM:19024,2,60
IDFM:427757,IDFM:monomodalStopPlace:58498,2,265
IDFM:411312,IDFM:monomodalStopPlace:43132,2,238
IDFM:20837,IDFM:20569,2,375
IDFM:471470,IDFM:413461,2,60
IDFM:486173,IDFM:monomodalStopPlace:43164,2,189
